,ProductId,Score,Time,Text
0,B001LXYA5Q,1,1308268800,"I was quite excited to try this product, so I bought 4 packs. We opened one, and I tested a half-tablet. No result. My wife tried the other half. Ditto. The next day, we tried a full tablet, letting it completely dissolve over the entire tongue. I found the tablets pretty tasty themselves, while my wife found them too chalky to enjoy. Anyway, again there was no effect with lemons, chili sauce, etc. Our daughter also had no discernible change in her taste of foods.<br /><br />Happily for me, the company is going to refund me for the other three packages. But I would have preferred that they'd worked. I was looking forward to bringing them out at an upcoming party."
1,B001LXYA5Q,1,1298851200,I guess everyone's taste buds are different.  This product didn't work for me.  Every food item tasted as it should :-(
2,B001LXYA5Q,1,1256947200,Dissolved an entire tab on my tongue and was disappointed to discover that it had no effect on ANY of the foods that I tried.
3,B001LXYA5Q,2,1284768000,"After taking a tab, I was able to eat a hot pepper, but it didn't really taste sweet or good at all, just not very hot.  Then I tried some cayenne pepper, which remained hot with no alteration in taste.This is a nice idea, but didn't work for me."
4,B001LXYA5Q,1,1326844800,"I bought my mberry pack from mberry.us online hoping to use it to curb my sweet tooth. I followed the directions to the letter, allowing the tablet to dissolve completely on my tongue. I then tried balsalmic vinegar - nothing happened to the taste at all except that my tongue burned a little. So I tried hot sauce - nothing happened again except that my tongue burned a lot. Then I tried regular vinegar - nothing happened again. I even tried taking a second tablet, but it still did nothing but slightly burn my tongue. HUGE waste of money. Super disappointing. DOES NOT WORK!"
5,B001LXYA5Q,1,1295222400,"Not much to say, other than the product solicitation is all hype! I carefully followed the directions on the packaging of the ""mberry Miracle Fruit Tablets"" and the results were about as miraculous as one of those potato chips baring the face of Mary Magdelene! Sorry ""Believers of Miracles""... this is one that won't make ""The Tonight Show""!"
6,B001LXYA5Q,1,1329696000,"I was excited about these and had organized a whole event for my fiancee's birthday around these tablets.<br />Placed an order well in advance, namely 3 weeks in advance.<br /><br />After two weeks of waiting, I received a notification that my order was being cancelled for some mysterious as yet to be determined problem. The email attempted to spread the blame between Amazon, its supplier and some mysterious unknown factor, ultimately taking no real responsibility for the blunder.<br /><br />Color me frustrated and confused because while they said they are stopping all orders for the time being, their company website still shows the product in stock and ready for orders.<br /><br />This to say the least was very disappointing and more so because the company's response was very wishy washy and lame. In my experience, when a company screws up (mind you it wasn't just my order, it was a whole slew of orders that got cancelled)<br />they should own up and take responsibility thereby showing some integrity, rather than mutter some indecipherable mumbo jumbo that does nothing to explain nor solve the customers problem."
7,B001LXYA5Q,2,1327708800,"I'm jealous of whoever thought of this, but the actual product turns out to be pretty unimpressive. It turns out, if you eat half a fruit roll-up, then eat asparagus, the aspragus tastes differently than you might expect.  There. That's all you need to know.  DON'T buy this product, just buy some Gushers next time you're at Wal-Mart.  2 star review because I like Gushers."
8,B001LXYA5Q,1,1232150400,"I dissolved an entire tab in my mouth and then ate bitter greens and it did nothing.  I added some vinegar to the greens and it did make it a tad sweeter, but it didnt make them taste good.....It makes really sour things slightly sweeter....but NO MIRACLE."
9,B001LXYA5Q,1,1317772800,"Well I bought these to have a ""Food Tripping Party"" with my wife. I had a spread before us of lemons, limes, strawberries, blackberries, oranges, and grapefruit. We both started with half a pill each as per the reviews here. I then took a bite of a lemon. I guess is was sweeter but not by much, though I was able to eat it. It was like a sweet + tart food which I guess is because of the acid in the fruit. I then ate another half of pill because the instructions that came with the pills stated to take a full one. I tried again. It made the lemons bearable but not super sweet. You would not be able to eat an entire be happy. I went onto the other fruits and the same thing. You could still taste the tart with a sweet aftertaste. My wife said this, ""Well it makes it so you can eat lemons, but who wants to sit around eating lemons all day?"" I'm disappointed BUT the price was cheap enough and it was a fun thing to do with my wife. I'll pawn these off on friends and see what they say. To all the people who threw parties and raved and raved about how everyone loved them, my guess is that they didn't want you to feel bad."
10,B001LXYA5Q,1,1234483200,It didn't work for me.  Maybe its because I couldn't get past letting the whole tablet dissolve because to me the tablet tasted like vomit.
11,B001LXYA5Q,4,1234656000,"This product definitely works.<br />I was not aware that i was supposed to break the tablet in half. After eating a whole tablet, I ate a lemon. It was WAY WAY too sweet!<br />I waited 2 hours for the product to wear off so i could eat regular food.<br />I tried a 1/2 tablet the next day. I added some lemon to a glass of water. To me, it tasted like lemonade with 5 packets of splenda. It didn't taste like regular sugar. Which i guess is good. The sweet taste was just different.<br />I also ate cottage cheese, it tasted like cottage cheese with sweetener in it.<br />The product works immediately by the way. No waiting for this to work.<br /><br />I think this product will last me a while.<br />The day after this review I took a tiny nibble of the leftover 1/2 tablet.I made another glass of lemon water and the lemonade was perfect for me. Not overly sweet, tasted like a lemon drop ;p<br />Your mileage may vary with this product.<br /><br />I've heard that other brands taste a bit better than this one.<br />I just ordered a pack from another company. I will report back.<br /><br />I have a HUGE sweet tooth and I'm trying to lose some weight. I'm hoping these tablets will help me with that :)"
12,B001LXYA5Q,3,1239494400,"After reading reviews and testing these out with friends, I can say this: Everyone's tastes (and tastebuds) are different. What is not sweet to one person is super sweet to another. So be ye warned, results for these may vary.<br /><br />I found that the tablets didn't make things ""sweet"" as much it cut down on the sourness, almost like a numbing effect.  Ever put sugar on a lemon slice and bit into it? The sour kick is still there, just canceled out. I'm certainly not going to be eating them like candy as some reviews suggest.<br /><br />Tried out a few beer types, with mixed results: Beers that are fruity/citrus ended up gross, as it would taste like I mixed in a mouthful of juice with the beer. Dark beers like an Irish Red were my favorite.<br /><br />I really recommend going out to eat so you can try a variety of things. Certain foods will take you for surprise (ranch dressing, for example, was notably different and very good)."
13,B001LXYA5Q,5,1235606400,"Wow, I DID NOT EXPECT such a quick, shocking result from this product, but it definitely delivers!!! My brother told me about these tablets and the ""flavor tripping"" parties. I had never heard of them before, but decided to give it a try just because the claim sounded so wildly strange, a sort of ""Ripley's Believe it or not"" kind of novelty.<br />Anyway, the tablets WORK immediately. I just took one, had a lemon, and voila': it's SWEET! I also tried a sip of Chianti wine.. SWEET.... I poured a spoonful of white vinegar in a small glass of water... SWEET... I haven't tried beer or other things, but sooner or later I will!<br />The best thing I see coming out of this is that I FINALLY don't need to sweeten my tea! I'll just squeeze a lemon in and that will be that.<br />Hmmm... perhaps I can add lemon juice to soda water and it can turn into a new diet soft-drink!! The possibilities are endless!"
14,B001LXYA5Q,4,1239753600,"I do reccomend this product, as it is effective and very fun to try. Here are the setbacks: It only lasts around 30 minutes, not 2 hours. I bought these in lieu of the actual berries ($90 vs. $10) so they weren't as potent as I had read about/expected. Nonetheless, they do work! Lemons and limes were delicious!<br />Oh, be sure to move the tablet over the ENTIRE surface of your tounge in order to cover ALL of your taste buds."
15,B001LXYA5Q,4,1276905600,"Basically these tables change the way you taste acidic things, they will instead taste sweet. Lemons taste like a strong lemonade. Some of you might be thinking, well that's fun and all but how would my lover taste? well, kind of sweet(men and women). Give it a try you'll see. My only complaint is that they made them look so much like a drug that I had to convince some of my more prudish friends that it was just ground fruit."
16,B001LXYA5Q,5,1322784000,"I saw an article on Yahoo and figured I would give it a try. This stuff was unbelievable. I ate healthy foods for the first try. Some carrots, spinach, a red pepper and an orange. It was probably the best meal I had ever tasted. It was like I was eating a fruit picked from Eden. On the downside I could see this becoming an addiction!"
17,B001LXYA5Q,5,1321833600,"I got these for me and my boyfriend to try but he refused to try it with me... at first. I tried to explain to him that it's just fruit put in a pill form but he was convinced it was some type of trick I was trying to pull on him. Anyways so I went to the store and picked up some lemons, limes, tomatoes, kiwi, oatmeal stout beer (which I absolutely hate stout beer), sour candy and some red hots. I let the pill dissolve on my tongue and started out trying a lemon. One thing I recommend which I didn't do was to try out all the food first to get something to compare it to. I sat in front of my boyfriend and ate a whole lemon without even flinching. Then I told him to try it and he could barely lick it without making a face. Then I tried some stout beer... it tasted like cold coffee with a hint of kahluah. I eventually got him to take one of the pills. We had sooo much fun tasting foods!! it was amazing how much it worked!!!! I already recommended it to all my friends and now I recommend it to you. It can be a really cool party trick by betting someone you can eat a whole lemon without making a face."
18,B001LXYA5Q,5,1236816000,"After dissolving one tab on my tongue, I ate 1/4 of a large lime, and it tasted mostly sweet with just a hint of tartness!  I would have eaten the whole lime but was worried all that acid might upset my stomach.  I didn't notice any difference when I ate parsley, though--the parsley still tasted somewhat bitter to me.  Miracle Berry worked extremely well for me with sour stuff, but not at all as far as I could tell with bitter stuff.<br /><br />Still, well worth the price to experience this amazing transformation in taste.<br /><br />Edit:  I had a craving for blackberries and bought a large container of them from a warehouse-type store.  I planned on eating them all at one sitting, but after one or two I couldn't eat them--they were mostly sour and hardly any sweet.  I remembered that I had some of these tablets left, so I rolled one around on my tongue until it dissolved, and thereafter the blackberries tasted pleasantly sweet, so I was able to finish them all."
19,B001LXYA5Q,4,1324339200,"The mberry tabs work by altering your taste receptors and make sour tasting foods more sweet. I'm a high school science teacher, and I used these both in my classes and for my science club. The students love trying out different sour food items to taste the results. I've used this brand several times, and it seems to be pretty consistent in it's effectiveness and quality. The best way I can describe the effect of these tabs is it makes a lemon taste like a lemon ""shake-up"" from a fair/carnival. It does not create a super ""candy-like"" sweetness (which I think would be really weird anyway), there is still a hint of sour behind the sweet taste. Also, they do not last anywhere near an hour, more like 15-20 min., so just be warned, and be ready to taste things immediately after dissolving the pill in your mouth. In my experience, there have been a percentage of people for whom the tabs are not effective, maybe between 5-15% in a group (1-3 people per 20). The tabs are somewhat expensive, but as a pretty unique experience, I definitely recommend trying it at least once!"
20,B001LXYA5Q,5,1321142400,"I just did a test run for a work party and I sampled raspberries, strawberries, lemons, limes, Tabasco sauce, goats cheese, beer, orange juice, and yogurt. First off, the lemon was the best tasting example of fruit I have ever had in my life. I wanted to eat the whole thing. The rest of the fruits tasted delicious. The unsweetened yogurt was good, the orange juice amazing, and the beer much sweeter. The goats cheese didnt taste that yummy to me and the tabasco sauce didnt have a noticeable change in flavor. Over all, a very fun and effective flavor changing experience!"
21,B001LXYA5Q,4,1317772800,"It does change the way you taste but not to such a great effect that you are expecting. It's more of a pleasant surprise and not a OMG! surprise. It makes sour and most fruits sweeter. It makes beer taste like some sort of sugary juice (and I don't like beer). I would like to try cream cheese and wine which are supposed to be yummy. I recommend this product and I only need a half a tablet to last about 45 min to an hour. I wouldn't dare try spicy foods as they suggest on the package but they suggest pineapple, cheese, peppers, and limes. Lemon in water tasted like lemonade with tons of sugar. I would experiement and see how it works out for you. It doesn't work on all foods though like potatoes or meats, as it mostly alters your sour or tart taste buds."
22,B001LXYA5Q,5,1307664000,My daughter had  me buy these for her 18th birthday party.  What a success!  The tablets arrived ahead of schedule so we could concentrate on other items.  The kids had a fun time trying out sour foods that became sweet after letting the tablets melt in their mouth. Everyone had a great time and really enjoyed them.  We're recommending them to everyone!
23,B001LXYA5Q,5,1234396800,"GREAT for parties.  This stuff actually works.  I was eating War-Heads, which I normally hate, like they were gummy bears.  Eating a lemon tasted like drinking lemonade.  You've got to try this stuff."
24,B001LXYA5Q,5,1302825600,"I purchased these tabs for my daughters ""flavor tripping"" party. I have never tried them out before so I invited a couple of friends over to experience this with me. I set up a spread our items, gave everyone a mberry, and got to tasting. The first item that we tried was a lemon and we were literally blown away because they were so sweet and tasty. Next came the dill pickle and it tasted like a sweet pickle. We even tried ketchup and mustard and couldn't stop dipping out fingers in it because the flavors were unbelievable. We also had a bottle of cheap dry wine and it was delicious. The strawberries were so delicious that we ate the entire bowl. Fruit rollups were great too. This is something that I know my daughter will enjoy at her party and I will be trying these time and time again."
25,B001LXYA5Q,4,1298678400,"After reading an article online a while back about flavor tripping, I went looking for miracle berries and was surprised to find these handy tablets on Amazon. I was worried they wouldn't pack the punch the actual berries were reputed to, but they turned out to be a great purchase.<br /><br />It's true that how effective they are varies by person, and by the foods you try them with, but overall these were a big hit at numerous gatherings of friends and family. I've found that the biggest hits tend to be vinegar, and tart citrus like lemons, limes, or grapefruit juice. For me all go from being sour to very sweet (yes, to the point where if I didn't know better I'd be gulping the vinegar down). Dark beers are interesting, with the changed flavor still usually somewhat enjoyable. Foods or drinks that are already very sweet become cloying and unpleasant. It's still worth trying just to see the effect, but keep that in mind when choosing things to try with the tablets in advance.<br /><br />I've ordered these 4 times, and hope to do so again (at the time of this writing, they are not available). If they remain out of stock for too long, I'll have to try some of the alternatives. I'm reluctant to do so though, knowing how effective these are."
26,B001LXYA5Q,5,1292198400,"My friend and I had a flavor tripping party for two.  We each dissolved one tablet on our tongues and then dug in to a plate full of lemons, limes and other sour items.  The effect was immediate and amazing.  We were laughing hysterically throughout the whole ordeal.  We also tried shots of vinegar, mustard by the spoonful (really yummy) and several other types of fruit.  We had a blast finding new things to try.  I think next we're going to have a big group over to play around.  As other reviewers have mentioned, you can split the tablets in half to lessen the effect.  Remember - if you're going to have a flavor tripping party of your own, pack some antacid.  After all we ate, we really needed it.<br /><br />Updates 12/20 - I gave mberry pills to friends for the holidays.  The pills didn't work for all of them.  Judging by some of the reviews the pills either don't work for everyone or not every pill is the same potency.  I contacted the seller who put me in touch with the manufacturer and they are sending me out a replacement batch to give the people who had a bad experience.  Excellent customer service all around.  I still wholeheartedly recommend giving the tablets a try.  If it works for you, it is really amazing."
